,TotalPop,Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,Total; Estimate; AGE - 45 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 74 years,Total; Estimate; AGE - 75 years and over
2437,56500,2464,3620,3368,3066,7204,8275,4274,3969,6411,4477
2438,39713,2060,2264,2238,2337,5296,6495,3068,2321,3171,1868
2439,17097,1513,1742,870,980,1978,2193,1292,779,1596,1203
2440,31566,1595,2328,2044,1708,3953,4436,2515,2080,3441,2200
2441,7684,453,388,341,369,860,1137,469,658,1092,736
2442,35262,1564,2004,1753,1912,4324,5209,2710,2697,4191,2477
2443,54074,2705,3232,3038,3324,6453,7746,3782,3073,4993,3790
2444,14554,654,817,873,932,1792,1948,928,915,1369,1122
2445,58178,2105,2797,2735,2800,5794,7188,4213,4150,9603,6728
2446,678322,31011,52074,65766,58841,90513,84335,41025,34261,40595,30838
2447,11681,458,616,593,660,1299,1588,886,784,1504,1118
2448,19380,1040,1128,989,1055,2492,2712,1372,1309,1961,1278
2449,51341,2744,3068,3111,2975,6556,7595,3550,2797,4497,3064
2450,37751,1947,2333,2079,2062,4942,5364,2706,2317,3540,2468
2451,39336,1557,2063,2152,2251,4629,5679,2954,3316,4248,2613
2452,17940,851,933,809,934,2134,2584,1216,1472,2207,1277
2453,41397,2504,3060,1991,2208,4824,5462,3241,2625,4396,3213
2454,49222,2451,2789,2739,3027,6167,6809,3353,2917,4597,3999
2455,29024,1424,1817,1555,1571,3381,4337,2228,1913,3108,2161
2456,22942,1158,1187,1117,1265,2897,3497,1769,1624,2547,1498
2457,68520,3413,4165,3424,3781,8737,9921,4815,5193,7874,5210
2458,13359,648,775,699,761,1649,1825,880,956,1649,1047
2459,63465,2898,3635,3820,3849,8357,8683,4454,3527,6312,4445
2460,354589,17468,24686,23862,22820,44365,47444,24815,22456,30134,24110
2461,6605,232,412,372,390,787,952,573,481,694,505
2462,25784,1145,1856,1861,1849,3386,3875,1727,1714,2439,1686
2463,25813,1201,1390,1299,1331,3094,3671,1791,2077,3060,2281
2464,56402,2526,3098,2896,3018,7307,8401,4318,3967,6401,4022
2465,17944,1178,957,1015,1138,2042,2628,1549,1092,1607,1251
2466,27889,1423,1644,1515,1779,3638,3977,1842,1776,2823,1741
2467,32263,1282,1646,1636,1755,3684,4616,2373,2340,4029,2734
2468,24502,1165,1497,1443,1490,3284,3687,1586,1721,2160,1512
2469,8188,408,433,412,448,985,1130,690,502,934,636
2470,18281,905,1020,950,1014,2266,2540,1261,1366,2029,1352
2471,11573,541,667,534,523,1429,1710,915,955,1443,843
2472,52887,2976,3517,2752,2832,6261,7785,3657,3486,5975,3672
2473,17846,695,1028,983,1147,2464,2696,1285,1273,2229,1373
2474,452286,24755,40203,29672,29921,56648,60551,28973,26317,35633,26884
2475,7588,253,622,586,641,1275,1176,550,368,621,494
2476,26497,1369,2000,1920,2004,3641,3897,1656,1622,2203,1461
2477,42591,1940,2448,2413,2473,4988,5840,2865,2520,4167,3096
2478,11944,464,704,593,603,1395,1748,979,812,1297,969
2479,33543,1560,1946,1760,1773,3953,4982,2381,2462,3460,2560
2480,51024,2216,2377,2563,2645,5554,6473,3447,4070,7426,4621
2481,52569,2653,3295,2658,2945,6320,7689,3951,3350,5642,3967
2482,25945,1165,1417,1254,1530,3168,3658,1844,1774,2942,2103
2483,23239,1300,1434,1511,1322,2844,3220,1741,1205,2112,1356
2484,97887,6137,7510,6335,5957,11774,13398,6934,5770,8116,6040
2485,28355,1301,1603,1556,1597,3521,4079,2307,2016,3119,1918
2486,31753,1504,1826,1686,2109,4100,4527,2121,2200,2732,1797
2487,87606,3556,5037,5379,5646,10813,11589,6489,5358,7110,4971
2488,11830,476,650,608,588,1444,1761,686,1085,1464,781
2489,45698,2360,2804,2240,2440,5555,6372,3459,3128,5292,3045
2490,192120,9834,17491,18865,15842,24720,21547,8816,7560,9419,6187
2491,6302,320,325,320,297,800,948,413,521,773,544
2492,21639,991,1455,1468,1461,3085,3274,1458,1514,2044,1281
2493,30659,1533,1873,1557,1653,4074,4277,2354,2002,3317,2337
2494,21995,1120,1242,1099,1236,2771,3015,1558,1567,2521,1616
2495,7882,399,407,435,411,861,1040,593,625,942,616
2496,5071,187,244,210,190,588,775,385,411,733,561
2497,16722,817,887,795,841,2202,2509,1309,1132,1974,1180
2498,75565,4888,8229,4724,4364,8466,9096,4696,4034,6650,4915
2499,32478,1668,2176,1771,1823,4058,4415,2342,1921,3440,2111
2500,52926,2373,2876,2439,2497,6242,7999,4422,4152,6354,4583
2501,68575,3519,3874,4012,4431,9126,10097,4853,3744,5234,3558
2502,298456,16296,27829,19896,21331,40803,37456,15714,12749,16228,9904
2503,21949,1141,1393,1213,1348,2953,3081,1574,1231,2062,1275
2504,14654,628,832,672,837,1859,2042,1183,882,1727,965
2505,95523,4241,5784,5397,5248,11864,13878,6853,6370,10011,6093
2506,937847,53206,70587,68251,64693,121599,126700,60929,53366,61084,44013
2507,19279,912,1068,1070,1085,2378,3043,1511,1075,1822,1089
2508,13248,653,772,623,662,1528,2066,1018,905,1530,944
2509,156519,7364,8824,8268,8180,19799,22842,11035,11722,17659,13540
2510,175730,8550,9650,9836,10678,23561,25167,11179,10250,14648,9404
2511,61434,3601,4089,3680,3839,8114,9089,4336,3298,4684,2968
2512,8773,408,522,391,458,1013,1165,598,508,724,468
2513,17830,744,1023,893,948,2238,2667,1454,1265,2126,1670
2514,19176,986,1093,1100,1064,2438,2931,1396,1298,1919,1079
2515,5675,302,230,251,325,671,790,519,447,717,389
2516,40210,2013,2259,2088,2583,5502,5389,2690,2471,3844,2701
2517,126437,6827,11015,7832,7780,16040,16691,8283,7967,12012,8623
2518,16713,705,1170,1126,1077,2371,2457,1178,1103,1715,1273
2519,33776,2624,4154,1900,1810,3808,4193,2189,2104,3049,2594
2520,26394,1213,1525,1521,1423,3039,3728,1808,1898,2879,2084
2521,212161,11327,9262,7824,10707,30390,32315,14078,11256,13425,8766
2522,128874,6268,6651,6217,7543,17280,19013,8361,7755,10856,6223
2523,57747,2323,3932,3980,4913,9607,8508,3661,3305,4531,3173
2524,17577,1159,1090,1262,964,2246,2145,863,801,864,835
2525,87700,4366,5838,5482,5473,10979,11412,5015,5382,7168,5653
2526,24832,1229,1138,1118,826,2539,3383,1961,1759,3695,2607
2527,8793,553,464,378,436,1024,1407,745,568,848,679
2528,1929,93,132,92,95,213,276,165,117,223,194
2529,48139,2563,2906,2863,2927,5806,6133,2593,2898,3776,2645
2530,29292,1536,1734,1298,1538,3625,3810,2128,2028,2949,1971
2531,7098,487,310,462,293,1075,539,366,477,490,597
2532,21316,762,925,856,859,2035,3164,2055,1794,3236,1841
2533,80306,3907,4192,4334,4614,10076,11247,5500,5355,6082,3881
2534,3602,211,134,75,119,424,612,363,180,440,430
2535,32729,1774,2757,2852,2819,4745,4626,1850,1552,2046,1604
2536,336506,17471,30955,30529,25586,40915,36919,16123,13482,18178,12882
2537,1892004,108131,143024,145086,135728,242688,231139,101473,88921,114503,85941
2538,11089,549,454,445,399,1147,1722,638,1303,1387,860
2539,602,29,15,65,41,80,68,29,32,71,88
2540,17955,840,894,750,868,1867,2478,1188,1460,2325,1803
2541,93635,4805,6006,6201,6264,12138,12570,6008,5362,7881,6148
2542,345995,17770,19978,21534,24360,48868,46772,20196,17181,21434,13568
2543,214231,20240,43575,17619,13952,20881,18817,8155,7735,9344,7061
2544,9220,240,733,599,478,1152,1200,754,668,1067,617
2545,1591,81,100,80,62,201,208,124,92,203,153
2546,7251,416,871,765,355,736,824,256,355,635,568
2547,37787,2243,2232,2055,2236,4277,4910,2959,2042,3967,3114
2548,17596,799,910,944,821,2049,2390,1231,1225,1871,1456
2549,45017,2194,2700,2034,2344,4816,5987,3263,3225,5212,3870
2550,40544,2916,3268,2483,2597,4927,5213,2591,2144,2923,2141
2551,21821,1061,1206,1415,1376,2489,2956,1257,1455,1964,1491
2552,13660,680,583,650,733,1496,1969,942,1062,1477,1137
2553,420201,27899,30504,25268,25728,52714,46520,21381,18431,27816,22492
2554,12670,659,827,635,897,1292,1525,881,761,1177,950
2555,6033,359,287,244,446,637,903,436,407,533,465
2556,30118,1462,1537,1569,1605,3424,4119,2260,1984,3614,2695
2557,7891,441,586,429,398,963,931,481,484,510,577
2558,39283,2296,2063,2092,2600,5291,5465,2617,1794,2565,1372
2559,51594,2660,3443,3013,2921,6283,6515,3399,2988,4527,3526
2560,7064,349,617,686,643,932,771,474,280,509,511
2561,10369,580,484,498,502,1148,1543,882,818,1181,885
2562,2932,235,177,143,190,356,374,179,150,213,216
2563,3238,119,122,123,138,360,466,247,235,489,369
2564,8422,556,313,346,395,832,1197,646,723,1081,837
2565,914075,47562,47025,51215,61674,143968,131564,49787,39368,51019,28519
2566,3026,111,143,173,252,299,299,221,204,325,279
2567,20913,1117,1063,1016,1052,2083,2886,1580,1518,2209,1984
2568,129100,6054,6294,6274,6342,14438,17647,8897,8960,12350,7906
2569,13492,636,743,567,622,1484,1724,846,1025,1765,1331
2570,3858,205,178,267,399,711,585,230,213,372,291
2571,39064,2310,2437,2272,2122,4348,5046,2702,2742,3821,2811
2572,75818,3501,8000,7668,6960,10974,8577,3384,2673,3923,2544
2573,1498,56,50,71,78,64,201,137,96,247,162
2574,4836,305,237,290,366,541,607,322,215,307,251
2575,3836,268,173,258,200,421,455,303,332,358,201
2576,5895,310,374,297,367,648,730,395,327,602,480
2577,2257,197,205,158,90,181,335,166,155,218,140
2578,7207,615,373,481,590,848,837,429,335,339,232
2579,2552213,133734,178998,202431,197079,353682,326666,138787,115981,136884,97339
2580,13095,813,1036,1358,1059,1585,1546,757,589,1017,942
2581,18947,1163,1500,1281,1207,2298,2201,1086,900,1155,1064
2582,5172,225,304,264,291,554,683,386,378,634,447
2583,781321,41577,51791,54575,55363,116328,106511,42109,31118,39390,21093
2584,20474,987,996,1107,1208,2487,2992,1448,1283,1968,1998
2585,2224,143,87,99,74,375,297,192,108,297,192
2586,10822,812,658,674,497,1288,1253,495,774,840,669
2587,3433,319,247,162,181,298,439,214,260,429,417
2588,11434,687,1001,758,678,1384,1442,686,494,1122,897
2589,18278,1157,1341,853,936,1669,2466,1176,1323,2026,1790
2590,155744,8355,12434,12404,11037,18297,17417,8392,6576,8269,6299
2591,2111,114,135,35,37,273,233,67,165,381,176
2592,164092,9488,10206,9543,9829,21181,22288,9835,8844,11043,6798
2593,834825,53692,70698,61922,55285,105726,99799,45437,36332,49706,41246
2594,41016,3693,6085,2513,2140,4003,4583,2120,1995,2934,2425
2595,17289,992,1250,1107,1060,2207,2473,1107,1124,1563,1302
2596,33787,1684,2154,1900,2076,4043,4888,2406,1983,3649,2585
2597,24963,1197,1206,1100,1161,2428,3541,2070,1812,3133,2612
2598,3875,203,265,233,200,404,370,317,222,497,427
2599,5953,297,371,338,362,664,731,403,341,613,511
2600,1414,74,5,32,54,139,208,15,104,176,176
2601,711421,38903,38082,37332,44702,101292,96623,43737,34073,38284,20714
2602,10639,530,497,513,448,1269,1450,740,765,1185,889
2603,19646,955,964,961,1209,2567,2715,1346,1299,2029,1514
2604,19110,1332,1962,1396,1472,2091,2180,781,816,1287,938
2605,19889,1231,1003,1472,1239,2268,2227,988,719,930,842
2606,321184,16224,19967,19592,20650,40141,45160,21452,18757,22795,15344
2607,6739,254,332,380,648,1390,1130,421,248,295,365
2608,25939,1193,1206,948,1129,2329,3252,1745,2236,3648,3441
2609,1420,73,20,50,48,195,121,144,54,80,94
2610,7510,483,408,275,320,850,1057,632,561,861,642
2611,20558,1150,1263,1112,1146,2317,2635,1500,956,1900,1352
2612,22962,1060,1292,1574,1598,3035,2964,1466,1164,1826,1739
2613,126146,6827,7878,7136,7182,14259,17002,8422,7959,11700,8612
2614,123402,6886,9202,8485,8291,14925,15602,7893,6632,9041,8037
2615,27358,1327,1570,1679,1589,3477,3914,1832,1898,2570,1717
2616,150889,9262,8563,8290,9384,19882,20634,8949,7114,10767,7441
2617,34527,2337,2938,2460,2327,4182,4318,2118,1497,2356,2070
2618,3102,278,182,84,112,313,426,208,223,404,325
2619,8220,413,395,347,347,867,1047,606,614,1092,1059
2620,5532,340,314,323,293,682,736,371,234,458,368
2621,3990,224,157,274,241,458,538,400,241,393,316
2622,55993,2699,3177,3349,3527,7019,7722,3845,3373,4889,3301
2623,4525519,239981,317275,354057,350380,624024,561971,250489,204046,237369,152062
2624,66606,3461,4492,3980,4070,7928,9010,4423,4287,5715,4148
2625,5821,230,224,424,608,1092,915,405,225,468,392
2626,5806,259,290,442,456,653,759,320,484,584,695
2627,194843,12978,23127,12555,11689,22845,20929,9921,8657,10834,6184
2628,4152,211,185,232,268,549,460,258,194,322,264
2629,79687,3738,4605,4113,3997,8816,10651,5995,5317,9438,6652
2630,839539,56311,63510,54652,54399,107379,86154,35740,30224,46412,36532
2631,35098,1810,1979,1907,1822,3800,4603,2459,2277,3986,2869
2632,23273,1731,1949,1539,1495,2480,2880,1414,1239,1785,1352
2633,55418,2403,2842,2519,2898,5205,7198,4398,3656,7062,5351
2634,35929,1701,2115,2075,2054,4226,4815,2476,2022,3343,2699
2635,22849,928,1349,1171,1286,2932,3440,1791,1421,2522,2143
2636,36491,1899,2858,2646,2529,4974,5370,2172,1984,2424,2126
2637,3702,217,130,256,208,360,425,273,179,341,196
2638,90322,4709,6305,5444,5106,10574,12403,5735,5505,7802,5405
2639,21704,1161,1346,1199,1433,2715,2807,1533,1370,1734,1471
2640,1592,64,104,90,69,146,318,121,124,135,123
2641,8839,501,781,605,541,1034,1430,598,542,797,587
2642,14756,887,694,812,901,1591,1966,1076,918,1288,1069
2643,35444,1670,2128,1847,1848,4314,4782,2768,2142,3612,2626
2644,2236,110,26,48,97,207,386,209,219,464,148
2645,254574,13830,19250,18635,18097,31382,34385,16795,14079,17635,15629
2646,5262,220,415,244,387,536,537,241,469,633,333
2647,41318,2552,2749,2602,2644,4785,5179,2527,2213,3205,2522
2648,160173,8566,9582,9495,9967,20669,21950,10383,8349,12187,7643
2649,19969,673,1680,1783,1670,3061,2860,1391,938,1606,1208
2650,15051,633,1231,1248,1360,1863,1889,880,787,1072,1087
2651,114852,6048,6079,6595,7450,15421,15262,6903,5800,7823,4672
2652,40306,2447,1683,1365,1648,4509,5594,2623,2908,3958,2946
2653,564,16,29,56,31,55,61,45,16,49,19
2654,680,27,25,69,18,75,83,70,60,146,95
2655,50761,2403,2987,2485,2278,4636,6273,3391,3954,6848,6263
2656,4432,204,161,225,159,400,590,426,426,710,534
2657,289,17,5,32,22,30,50,25,15,24,22
2658,3631,105,218,239,270,317,574,424,265,272,252
2659,31540,2701,4648,2506,1920,3237,3076,1520,1592,2243,1673
2660,3753,177,188,225,204,444,431,271,201,353,423
2661,49401,2489,3310,2849,2710,5882,6594,3270,3021,5109,3793
2662,13368,811,817,751,841,1516,1710,778,786,1091,1134
2663,20473,1124,1102,1076,1076,2545,2750,1305,1485,2109,1422
2664,7418,489,434,728,504,785,834,256,368,593,387
2665,19859,911,1022,911,965,1950,2684,1296,1522,2133,2117
2666,16850,1218,944,711,876,2018,2352,1305,1160,1552,1181
2667,16966,885,755,795,779,1905,2057,1271,1223,2304,1509
2668,79884,4038,5625,5220,5184,10294,10816,5105,4443,5987,3659
2669,23480,1258,1442,1594,1418,2723,3063,1687,1521,2250,1714
2670,3495,245,210,271,249,378,461,194,222,218,228
2671,12043,549,532,769,791,1497,1580,795,782,1350,1019
2672,20195,698,797,622,678,1503,2372,1449,2045,3631,2868
2673,74,0,5,10,10,18,7,27,10,24,0
2674,298042,20092,37408,22354,19861,31989,32627,16580,13070,18296,15153
2675,5785,420,214,330,337,621,854,386,327,490,426
2676,8145,402,315,587,410,873,1039,509,753,994,716
2677,245720,17251,25447,15836,14993,26989,28900,14624,12290,16872,14729
2678,600,30,40,77,25,82,71,40,18,127,104
2679,13979,395,1908,1331,1293,1985,1483,770,685,1106,916
2680,10140,369,482,457,535,1107,1556,824,903,1376,1006
2681,5547,380,351,309,301,612,732,217,310,410,226
2682,4122,158,258,225,169,320,552,436,259,681,411
2683,36744,2030,2379,2280,2247,4035,4745,2092,2933,3109,2418
2684,57471,4108,4441,3567,3338,6986,6203,2992,2413,3568,2708
2685,48548,2959,3214,2938,2559,5585,6830,3336,2954,4105,2933
2686,2123,71,71,88,120,212,317,118,134,339,222
2687,159883,7682,11518,12944,11610,18009,18797,9220,7904,8121,7439
2688,24479,1337,1347,1193,1277,2581,3282,1755,1602,2533,2069
2689,4887,311,115,122,239,506,629,310,338,640,563
2690,8774,441,896,923,763,1366,1039,545,477,672,567
2691,19406,1017,980,1042,1010,2078,2699,1397,1261,2267,1850
2692,535187,27612,29561,30478,33174,69914,71987,32796,28254,36691,21917
2693,22016,1408,1603,1511,1639,2809,2590,1053,1160,1186,941
2694,12530,627,622,747,706,1395,1566,945,880,1349,1298
2695,1114,90,85,43,64,83,164,50,49,139,124
2696,65411,5705,8732,4202,3740,6580,7166,4101,3197,4565,3585
2697,48239,2884,2845,2991,2567,5842,6443,2996,2908,4494,3067
2698,14187,1007,957,689,766,1786,1969,832,1152,1459,968
2699,14990,881,1017,797,861,1792,1798,1048,936,1410,1120
2700,358484,19988,26689,25954,24496,42947,45593,22828,19580,25377,19497
2701,10484,717,598,713,666,1426,1317,651,433,613,463
2702,2083,241,136,95,98,192,216,151,93,190,131
2703,83909,4387,5324,5154,5145,10283,11758,5798,4963,7086,5192
2704,28109,1507,1658,1521,1461,3144,3912,1979,1820,2932,2050
2705,23574,1075,1490,1407,1592,2869,2887,1736,1577,2223,1724
2706,125963,6862,7189,6599,6901,15468,18678,8589,7770,10663,6488
2707,9871,675,696,642,641,1158,1276,667,409,687,558
2708,15804,823,917,1386,1224,2142,2200,863,903,1076,864
2709,46974,2175,2602,2568,2632,5427,6348,3504,3432,5717,3288
2710,121230,6166,8954,9543,9105,15492,15412,7266,5966,7507,6331
2711,7191,497,157,368,256,1080,832,411,425,835,627
2712,11246,460,478,495,557,1208,1522,835,897,1555,996
2713,130552,7149,9359,9416,9100,15750,15894,8365,7231,9519,7157
2714,3735,206,160,248,253,477,474,317,165,229,203
2715,3358,232,144,87,91,346,299,280,238,567,573
2716,12353,580,665,558,775,1414,1627,969,886,1661,1113
2717,14791,788,1121,1008,1237,1945,1936,876,642,986,881
2718,7293,456,449,340,329,819,971,550,411,832,684
2719,889,48,16,49,58,89,119,41,98,100,62
2720,16727,925,1096,790,887,1782,2277,1159,1010,1715,1354
2721,90414,4829,4041,4409,5727,13094,12714,5497,4147,5985,3614
2722,10266,579,681,385,556,1157,1282,751,710,1152,1001
2723,53026,2618,3533,3593,3568,6771,7396,3772,3185,4437,3524
2724,10429,384,490,375,452,901,1304,862,753,1731,1252
2725,8403,477,341,384,494,772,1223,569,726,1249,930
2726,27436,1495,1298,1230,1205,3122,3698,2205,1988,3214,1993
2727,66867,4052,4399,4186,4153,7992,8631,4276,3422,5311,3778
2728,5851,257,371,479,305,711,645,390,395,728,554
2729,3122,215,239,111,164,386,355,197,212,302,176
2730,17346,925,1225,1080,1274,2096,2304,951,1028,1361,1077
2731,3348,194,152,186,130,419,474,223,269,310,297
2732,25689,1267,1896,1331,1475,3114,3259,1562,1593,2301,1762
2733,3067,175,137,124,235,452,486,188,178,206,176
2734,222277,12379,16493,14986,13798,25949,26850,13846,11968,18089,14684
2735,8650,504,461,424,490,1108,1206,616,511,929,611
2736,63420,4522,5032,4073,3833,7796,6764,2762,2465,3940,2974
2737,9365,520,644,573,581,1051,1226,538,681,1004,762
2738,1139,78,36,85,87,123,168,139,64,141,69
2739,1084,33,8,45,63,135,204,98,88,219,160
2740,3894,218,220,204,330,486,497,275,146,329,257
2741,7541,408,587,514,471,835,908,371,501,680,676
2742,1983675,106094,131142,141790,140461,268964,265096,112211,92601,112614,76686
2743,135371,8617,14730,10197,8983,14090,15512,7723,6603,9731,8595
2744,721,17,16,27,68,183,112,45,58,102,144
2745,12755,817,751,899,870,1408,1639,900,501,980,830
2746,1541,69,70,64,72,122,225,124,86,229,215
2747,32664,2027,2502,1899,1923,4168,3973,1825,1618,2418,1727
2748,116906,7093,10962,9258,8017,11998,13692,7081,6431,8744,7598
2749,1176584,55316,88184,114214,105463,175330,142812,60776,52544,55258,35972
2750,14481,776,469,636,716,1560,1810,1028,1160,2033,1651
2751,21456,826,1811,1301,1252,2513,2777,1423,1488,2488,1860
2752,40506,2426,2238,2153,2275,4592,5591,2942,2757,3962,2679
2753,3575,189,200,238,236,366,413,215,145,239,203
2754,27015,1773,1985,1640,1591,3052,3047,1377,1533,2362,1916
2755,48976,3017,3964,3549,3178,5837,5501,2355,2305,3662,2881
2756,53607,2803,2698,2451,2692,6166,7337,3921,3624,5897,4329
2757,91518,5253,6068,6158,5969,10434,11593,5855,5279,7140,5648
2758,70818,5628,9694,5305,4560,9832,9580,4434,3183,4371,3250
2759,48443,5633,5820,2170,2354,4661,5463,2831,2156,3226,1879
2760,11498,751,649,685,737,1309,1406,704,573,841,753
2761,34667,2616,2261,1644,1766,3589,4478,2541,2120,3620,3088
2762,269624,18559,20698,17859,17599,35409,28914,11069,10043,12778,9273
2763,41430,2211,2654,2456,2581,4607,5372,2911,2395,3411,2961
2764,5599,234,297,360,314,678,725,450,300,554,410
2765,131778,8582,12961,10380,8967,14915,16265,8145,6970,9411,8550
2766,12972,788,929,801,746,1401,1810,1028,695,1207,974
2767,21839,1403,1996,1715,1570,2984,2408,1088,1052,1526,1198
2768,508313,24833,25803,30287,37081,78049,64518,25101,22282,30525,18566
2769,47205,2634,2459,2281,2542,5736,7100,3294,3046,3848,2576
2770,7777,487,520,499,485,905,1049,421,368,501,356
2771,63247,3002,3454,3840,3711,7394,9413,4498,3438,5262,3230
2772,43315,2160,2226,1749,2048,4196,5367,3176,3254,6497,4614
2773,8481,476,489,439,500,1111,959,665,238,528,392
2774,18166,980,938,987,884,1978,2572,1385,1212,1813,1669
2775,14415,688,1296,943,983,1690,1448,559,707,1055,573
2776,12152,810,1101,780,691,1410,1249,646,617,809,685
2777,6414,379,455,264,446,737,714,391,360,489,351
2778,52182,3169,3012,3006,3337,6383,5765,2736,2434,3306,2868
2779,120288,8868,16876,8988,8098,12792,10163,4882,4186,5321,4366
2780,20512,1289,1473,1225,1423,2346,2297,1479,1311,1727,1337
2781,702,38,59,36,46,69,93,61,59,96,61
2782,334977,19592,21718,21979,25983,43577,34941,16377,12861,16464,12319
2783,20259,1160,1276,1351,1555,2288,2044,1067,870,1241,901
2784,10410,608,569,572,725,1204,1202,704,679,904,580
2785,5020,339,286,225,306,498,614,354,410,547,380
2786,9544,372,554,617,665,1272,1174,670,787,797,561
2787,48504,3776,5527,3199,2996,5156,4463,2594,1987,3117,2092
2788,10694,820,609,546,678,1322,1023,485,499,681,508
2789,7246,409,198,490,455,673,898,572,569,936,547
2790,12651,889,629,614,719,1268,1478,712,862,1091,865
2791,11014,555,662,433,588,1276,1197,622,526,704,434
2792,1860,97,81,76,106,231,202,104,167,269,167
2793,2307,124,59,93,173,221,221,160,145,224,163
2794,1106700,57676,80062,90135,91553,150026,124141,56885,50309,58789,42013
2795,15193,1224,1030,836,820,1724,1782,878,725,1027,727
2796,28892,2606,2948,1509,1852,3202,2964,1496,1261,2135,1422
2797,20961,1336,1157,1126,1412,2420,2244,1398,953,1794,1377
2798,39731,1983,1993,2274,2309,5463,6305,2938,2443,2541,1030
2799,63357,3886,3303,3613,4784,9072,6822,2648,2875,3070,1850
2800,36343,2147,2369,2674,3062,4466,3601,1733,1568,1926,1337
2801,576496,40912,68833,40719,41492,65632,45503,20126,15500,22075,16380
2802,29306,1667,1417,1593,1766,4085,3139,1590,1131,1588,845
2803,155577,8370,9880,8842,9576,15623,13960,7623,8178,15275,12817
2804,2700,189,82,111,144,321,328,206,178,300,189
2805,244101,13614,17507,18555,18675,30498,27293,13220,10998,14452,11422
2806,36825,2621,3131,1720,1964,4148,5631,3075,2689,3473,2459
2807,36054,1986,2295,1730,1679,3776,5588,3122,2629,4043,3525
2808,30576,1848,1968,1552,1716,3627,4429,2589,2369,3095,2262
2809,160985,12047,17346,11092,10413,18942,22656,11007,9393,11423,8860
2810,6203,248,273,282,263,672,995,597,514,819,547
2811,48816,2356,2559,2750,3063,6669,7691,3754,3025,3822,2688
2812,6950,378,331,320,335,799,1203,699,627,782,374
2813,25191,1540,1620,1476,1517,3245,3736,1983,1576,2157,1515
2814,28901,1509,1579,1410,1617,3314,4605,2477,2452,2997,1930
2815,26951,1346,1399,1392,1471,3209,3855,2166,2131,3143,2218
2816,59676,3403,4014,3165,2950,6560,9444,5558,4436,6497,4732
2817,58691,3273,3605,3151,3214,7454,9193,4811,4529,5480,4160
2818,43332,2283,2497,2413,2319,4762,6713,3799,3811,4785,3285
2819,55485,2519,2508,3100,3205,6164,8662,4876,4669,6437,4765
2820,32840,1520,1768,1669,1731,3598,4592,2636,2646,3925,2853
2821,105105,7953,6721,7070,6365,11998,13657,7274,6347,8767,7607
2822,15489,714,796,772,711,1857,2298,1214,1187,2188,1551
2823,12802,603,690,510,484,1543,2279,993,975,1370,864
2824,31819,2072,2077,1653,1578,3768,4869,2325,2385,3351,2506
2825,15462,661,821,900,923,1841,2071,1192,1009,1704,1126
2826,229534,6347,15076,33786,28026,36590,27687,11767,10278,12230,8095
2827,74390,3603,4134,3953,4145,9095,11523,5718,5336,8032,5519
2828,4458,197,189,195,101,591,867,336,295,610,424
2829,77319,3556,4057,3440,3536,9127,12198,6488,5559,8745,5513
2830,6524,290,345,374,404,982,1011,516,488,803,500
2831,33149,1705,1601,1389,1441,3828,5429,2804,2616,3788,2555
2832,16435,985,1285,1024,1070,2036,2409,1196,1263,1721,1361
2833,22611,1024,1288,1438,1347,2886,3721,2082,1648,2708,1707
2834,17048,592,1138,1094,1060,2335,2678,1184,1230,1651,1079
2835,55158,2929,3515,3439,2921,6812,8121,4005,3636,5660,4049
2836,29889,1393,2088,1710,1898,3966,4243,2299,1552,2599,1638
2837,29767,1284,1472,1395,1399,3703,4408,2512,2193,3656,2662
2838,7022,307,363,366,358,733,1265,633,624,893,547
2839,12176,674,761,586,480,1415,1817,716,1083,1383,1069
2840,335594,20070,20106,18505,20279,45385,49470,23339,19763,25075,14924
2841,14331,907,621,603,773,1563,2357,1306,902,1530,1155
2842,5131,156,86,220,355,583,879,366,354,646,446
2843,49795,2569,2632,2786,2910,6518,7463,3242,2787,3963,2589
2844,9797,518,743,468,503,993,1597,771,633,1167,668
2845,15181,622,885,828,979,1939,2218,1101,1222,1725,1104
2846,28033,1458,1868,1527,1573,3518,4578,2062,1872,2709,1719
2847,11083,589,725,515,430,1362,1635,888,783,1300,917
2848,1142004,55979,64160,77806,84157,166731,172696,75883,64442,76425,48362
2849,68406,3765,3645,3353,3489,8504,11370,4634,4570,6154,3778
2850,15594,587,720,688,890,1909,2330,954,1455,1863,1190
2851,26109,1127,1469,1315,1624,3604,3875,1873,1624,2739,1788
2852,56277,2995,3150,2936,2978,6320,8212,4226,4517,7018,4228
2853,83784,3984,4522,4984,4701,11011,12833,5444,4828,6990,4830
2854,16867,655,999,838,886,2143,2456,1184,1194,2025,1353
2855,37035,1960,2124,1961,2204,4375,6089,3084,2518,3691,2443
2856,22148,976,932,769,1063,2643,3881,1978,1764,2617,1406
2857,15708,600,866,818,790,1837,2263,1311,1157,1930,1570
2858,19213,908,956,1213,1275,2405,2837,1119,1337,1769,1057
2859,11606,341,892,770,937,1733,2094,841,717,1018,697
2860,35030,1619,1890,1748,1673,4038,4872,2779,2693,4241,3277
