,Actual Uemployment rate,Predicted Unemployement Rate
900,1.5,1.4
901,3.3,1.8
902,5.0,4.8
903,3.7,3.9
904,1.8,3.3
905,5.2,5.6
906,5.4,5.0
907,2.8,3.5
908,5.4,5.0
909,4.5,4.6
910,4.7,5.4
911,2.9,1.8
912,6.9,4.3
913,2.8,3.9
914,3.0,3.4
915,4.7,4.1
916,6.3,4.9
917,5.4,5.2
918,8.0,7.0
919,1.2,1.3
920,1.7,2.4
921,4.6,4.8
922,2.8,1.9
923,1.1,2.0
924,3.9,3.2
925,1.9,1.6
926,3.7,3.6
927,2.9,3.3
928,3.6,3.1
929,2.8,1.6
930,5.6,3.9
931,5.8,5.0
932,2.2,2.3
933,3.5,2.9
934,3.9,1.7
935,4.7,3.8
936,3.0,2.6
937,4.7,4.6
938,3.5,2.2
939,4.2,4.5
940,6.0,4.1
941,5.8,6.9
942,3.0,2.7
943,5.8,5.8
944,2.5,2.0
945,3.9,3.7
946,4.1,2.1
947,2.8,2.2
948,4.4,4.1
949,3.8,2.1
950,5.8,6.7
951,2.3,2.6
952,8.7,3.9
953,1.8,1.6
954,2.9,4.6
955,2.6,1.7
956,2.5,1.8
957,7.0,6.2
958,2.8,3.2
959,3.3,3.9
960,1.2,1.6
961,1.8,2.8
962,3.9,2.9
963,4.1,3.8
964,1.5,1.6
965,5.0,4.6
966,2.6,2.7
967,6.5,4.4
968,5.6,5.3
969,3.4,3.1
970,4.9,3.5
971,4.8,4.7
972,4.2,3.8
973,5.4,3.0
974,5.6,5.5
975,7.3,6.8
976,5.4,5.3
977,2.1,0.5
978,4.1,3.5
979,3.0,2.6
980,3.7,2.8
981,2.1,1.9
982,4.5,2.9
983,5.1,5.1
984,1.9,2.2
985,0.8,1.0
986,4.3,4.3
987,5.4,3.4
988,2.2,2.4
989,2.3,1.4
990,5.1,5.1
991,5.5,4.4
992,8.3,9.1
993,6.2,6.5
994,7.5,7.3
995,6.3,5.6
996,4.7,5.6
997,7.6,6.6
998,7.8,10.5
999,9.0,10.6
1000,4.9,4.3
1001,6.9,7.6
1002,9.3,8.2
1003,4.9,5.7
1004,7.6,7.4
1005,11.9,11.2
1006,9.8,8.7
1007,5.9,5.8
1008,5.4,5.7
1009,6.9,6.8
1010,5.7,7.6
1011,5.4,5.6
1012,7.0,5.9
1013,10.3,10.3
1014,10.0,9.2
1015,7.5,8.0
1016,8.0,9.7
1017,6.7,6.2
1018,9.1,13.7
1019,7.4,7.2
1020,4.4,5.9
1021,5.1,7.9
1022,6.0,5.6
1023,9.3,7.7
1024,5.0,7.7
1025,12.4,10.2
1026,6.1,6.1
1027,9.5,7.9
1028,11.6,8.9
1029,7.2,6.6
1030,7.6,9.8
1031,6.0,5.4
1032,8.9,8.9
1033,4.9,6.6
1034,7.7,6.3
1035,6.4,8.1
1036,5.1,7.4
1037,8.7,7.6
