Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,TotalPop
93,239,113,160,331,3602
1689,2712,2798,2913,4718,32729
18136,31031,31087,26746,42683,336506
110206,144767,152874,144478,252467,1892004
498,543,339,349,1336,11089
28,14,56,23,66,602
854,836,803,884,1822,17955
4789,6108,6305,6000,12377,93635
18479,20784,22601,25662,50536,345995
19143,44513,18826,15002,22464,214231
377,456,689,581,1100,9220
65,108,87,64,162,1591
391,878,415,514,811,7251
1955,2499,2163,2292,4203,37787
873,949,1005,965,1977,17596
2225,2898,1901,2172,5179,45017
2668,3388,2577,2712,5125,40544
1320,1216,1368,1416,2444,21821
708,572,726,724,1481,13660
28099,31496,26016,24981,52423,420201
682,844,678,823,1242,12670
351,276,282,410,672,6033
1491,1449,1544,1543,3486,30118
600,480,400,449,881,7891
2263,2465,2364,2690,5041,39283
2851,3304,3082,2867,6241,51594
223,753,770,665,898,7064
466,527,496,503,1117,10369
234,148,182,265,264,2932
155,109,137,71,389,3238
399,327,510,398,842,8422
51030,51219,53184,63659,148743,914075
125,165,163,191,358,3026
1127,1240,944,1033,2080,20913
6412,6945,6837,7220,15381,129100
698,596,639,627,1459,13492
325,183,292,237,584,3858
1962,2637,2455,2211,4184,39064
3619,8561,7527,6972,10936,75818
73,26,93,45,102,1498
287,269,311,328,535,4836
392,131,269,243,391,3836
329,394,303,316,720,5895
136,101,233,116,199,2257
515,354,602,548,850,7207
135739,181965,210120,201603,357390,2552213
679,1184,1232,976,1596,13095
1137,1373,1243,1106,2327,18947
268,268,251,272,542,5172
44235,52815,57928,58825,121864,781321
913,930,1129,1213,2675,20474
124,75,80,147,354,2224
999,453,699,673,1374,10822
317,271,131,158,325,3433
532,917,814,644,1387,11434
1082,1267,964,898,1854,18278
8961,12672,13374,12052,19256,155744
100,128,47,105,257,2111
9475,10607,10180,10411,21705,164092
52358,71271,64168,57052,104809,834825
4199,5964,2707,2194,4082,41016
880,1217,1255,1219,2029,17289
1605,2019,1991,2179,3972,33787
1233,1243,1051,1314,2510,24963
224,218,247,164,465,3875
353,374,283,363,734,5953
98,49,35,39,196,1414
41304,41484,39808,48448,109031,711421
628,588,510,516,1229,10639
1068,944,970,1368,2569,19646
1157,2291,1552,1557,2253,19110
1244,1292,1419,1300,2381,19889
17475,19818,21034,21563,41856,321184
270,420,550,557,1399,6739
1457,985,983,1003,2525,25939
119,87,43,97,216,1420
447,495,242,335,772,7510
1171,1240,1247,1164,2248,20558
1024,1351,1541,1643,3054,22962
6478,7818,7683,7429,14510,126146
6753,8806,8701,8324,14688,123402
1388,1732,1591,1573,3530,27358
8828,9395,8827,10167,20992,150889
2213,2757,2420,2270,4004,34527
247,143,84,134,344,3102
396,442,375,373,901,8220
224,459,375,277,686,5532
162,209,267,236,354,3990
2906,3210,3384,3598,7069,55993
244942,320541,368213,364942,647130,4525519
3743,4124,3892,4008,8005,66606
150,215,492,545,1034,5821
229,374,371,449,761,5806
14446,24659,13983,13337,25364,194843
301,220,175,228,587,4152
4079,4508,4293,4136,8667,79687
57560,65683,56797,54328,109024,839539
1995,1987,1886,1883,3795,35098
1715,1840,1573,1523,2610,23273
2611,2512,2720,3018,5367,55418
1743,2094,2101,2090,4250,35929
892,1394,1146,1277,2919,22849
1892,2779,2801,2631,5242,36491
215,231,261,265,489,3702
5116,6125,5725,5314,10569,90322
1188,1389,1163,1524,2709,21704
73,120,73,34,138,1592
441,663,652,512,1210,8839
683,905,756,791,1955,14756
1724,2220,1757,2281,3850,35444
73,38,72,91,239,2236
13362,18561,18959,18415,32005,254574
289,346,202,318,656,5262
2491,2701,2752,2613,4970,41318
8932,9850,9971,10263,20964,160173
752,1457,1916,1687,3107,19969
870,1076,1405,1292,1996,15051
6202,6441,6980,7984,16081,114852
2143,2167,1777,1906,4877,40306
24,43,61,15,55,564
26,18,54,11,70,680
2361,3007,2566,2540,4624,50761
234,140,168,137,465,4432
7,9,47,30,30,289
80,201,177,362,397,3631
2755,4701,2396,1915,3251,31540
159,231,172,220,376,3753
2433,2972,3164,2646,5693,49401
733,772,747,945,1380,13368
1193,928,1108,1073,2620,20473
366,637,986,458,749,7418
932,1028,901,1072,1977,19859
1048,1009,728,1021,2083,16850
863,1029,580,801,1873,16966
4222,5531,5698,5561,10059,79884
1212,1464,1621,1329,2754,23480
213,181,255,268,336,3495
533,573,882,862,1502,12043
695,859,825,810,1421,20195
0,3,0,0,12,74
21083,37781,22990,20633,33445,298042
325,287,346,345,685,5785
385,279,624,318,1016,8145
17192,26152,16106,15350,27429,245720
14,29,43,14,74,600
375,1458,1417,1221,1894,13979
434,357,511,457,993,10140
359,385,323,361,656,5547
241,178,195,186,405,4122
1991,2416,2342,2178,4046,36744
4209,4856,3780,3436,6970,57471
2754,3376,3087,2732,5612,48548
59,65,142,121,165,2123
7913,11585,14357,13213,19888,159883
1240,1146,1335,1558,2378,24479
367,159,165,163,414,4887
354,971,898,754,1186,8774
932,954,1098,1013,1963,19406
29292,31822,32524,35006,73635,535187
1513,1652,1532,1551,2702,22016
590,522,847,724,1439,12530
67,67,95,77,68,1114
5405,8824,4079,3665,6660,65411
2939,2747,2939,2554,5694,48239
1142,782,628,900,1598,14187
1005,886,759,857,1709,14990
20470,26591,26705,25513,44277,358484
781,578,723,670,1360,10484
206,99,120,93,209,2083
4115,5264,5390,5262,10283,83909
1462,1674,1652,1499,3022,28109
1104,1522,1290,1282,3128,23574
6885,7259,6959,7409,15575,125963
644,620,664,642,1140,9871
846,974,1232,1268,2226,15804
2254,2613,2673,2673,5482,46974
6204,8394,9548,9108,15590,121230
558,285,232,252,886,7191
394,495,526,616,1217,11246
7586,9267,9625,9559,16426,130552
227,225,267,291,497,3735
208,211,58,116,300,3358
735,628,602,641,1384,12353
945,1143,1125,1124,2327,14791
394,419,360,357,809,7293
55,24,76,41,93,889
756,1089,921,817,1754,16727
5170,4691,4385,5876,13611,90414
437,691,497,587,1156,10266
2541,3298,3648,3534,6739,53026
436,337,622,509,867,10429
472,275,378,423,762,8403
1110,1498,1358,1275,3067,27436
3862,4421,4351,4485,8200,66867
265,388,435,337,695,5851
183,194,159,229,392,3122
1106,1110,1085,1246,2242,17346
237,150,155,150,382,3348
1618,1634,1278,1467,3093,25689
220,162,134,218,458,3067
12759,15962,15619,14314,26289,222277
459,486,493,563,1034,8650
4558,5234,4307,3868,7658,63420
507,600,621,648,994,9365
52,27,39,86,132,1139
35,10,24,62,83,1084
218,162,216,242,506,3894
414,430,687,487,854,7541
112516,133870,147774,146204,273805,1983675
8605,14734,10299,9245,14532,135371
11,10,44,40,100,721
799,689,970,915,1413,12755
90,77,43,112,106,1541
1996,2400,2046,1873,4002,32664
7271,10263,9420,8900,12581,116906
56819,83172,121288,113238,185184,1176584
763,536,575,750,1429,14481
1090,1644,1397,1106,2406,21456
2298,2201,2172,2195,4770,40506
186,186,247,229,435,3575
1923,1950,1782,1634,3102,27015
3083,4088,3650,3184,5764,48976
2997,2828,2611,2772,6121,53607
5106,6237,6477,6107,10636,91518
5357,9976,5600,4595,9919,70818
5413,6621,2413,2581,4778,48443
706,766,825,787,1398,11498
2804,2176,1643,1711,3652,34667
18907,21722,18432,17650,35616,269624
2307,2629,2478,2510,4689,41430
254,283,333,365,596,5599
8830,12265,10556,9154,14887,131778
835,747,872,871,1497,12972
1307,2065,1664,1630,2964,21839
26986,28082,31723,39212,82981,508313
2689,2690,2483,2756,5804,47205
691,520,459,521,974,7777
3148,3666,3869,3963,7503,63247
2200,2164,1861,2173,4153,43315
440,617,450,586,1057,8481
1193,847,850,1016,1974,18166
681,1272,930,916,1678,14415
752,1285,713,676,1375,12152
403,374,308,426,768,6414
3183,3340,2894,3375,6631,52182
8990,17846,9135,7748,13556,120288
1208,1317,1200,1348,2465,20512
28,43,36,19,72,702
20379,22240,22890,25502,46982,334977
1149,1200,1376,1463,2581,20259
633,537,489,657,1200,10410
348,282,248,293,534,5020
459,640,366,622,1441,9544
3639,5502,3387,3058,5505,48504
816,630,562,681,1441,10694
506,224,360,439,735,7246
803,679,565,724,1291,12651
701,653,488,642,1416,11014
71,56,92,170,205,1860
178,65,83,178,237,2307
59859,79304,93541,90907,157865,1106700
1104,1013,954,836,1657,15193
2646,2790,1623,1868,3628,28892
1283,1189,1133,1278,2618,20961
2111,2154,2373,2378,5319,39731
4295,3899,3470,4689,9664,63357
2216,2429,2511,3053,4812,36343
42773,73401,42586,39976,70923,576496
1891,1662,1632,1924,4462,29306
8970,10041,9186,9484,17309,155577
210,83,125,149,304,2700
14023,17530,18827,18604,32469,244101
2717,3211,1683,1956,3995,36825
1735,2459,1662,1681,3597,36054
1758,1868,1617,1623,3497,30576
11842,17894,11445,10665,18537,160985
249,271,265,256,640,6203
2555,2726,2879,3094,6303,48816
300,371,374,342,747,6950
1409,1642,1539,1573,3225,25191
1404,1654,1415,1632,3236,28901
1208,1420,1406,1462,3105,26951
3407,3805,3158,3057,6188,59676
3068,3679,3159,3217,7229,58691
2099,2476,2311,2379,4586,43332
2386,2518,2943,3194,6073,55485
1431,1788,1602,1745,3437,32840
8302,6688,7053,6594,12112,105105
775,768,843,709,1666,15489
693,698,599,515,1306,12802
1846,2064,1645,1597,3661,31819
760,711,880,930,1770,15462
6677,14995,31718,28126,38059,229534
3528,4156,4201,4212,8756,74390
110,210,241,222,408,4458
3628,4242,3655,3510,8716,77319
280,330,374,398,958,6524
1621,1673,1558,1509,3529,33149
896,1059,1036,954,1954,16435
925,1207,1389,1222,2674,22611
604,1058,1151,1142,2159,17048
2476,3490,3844,3130,6384,55158
1502,1794,1733,1930,3982,29889
1178,1439,1473,1450,3361,29767
262,352,339,349,694,7022
700,708,531,494,1340,12176
19678,20727,18838,20681,45562,335594
810,714,646,664,1597,14331
112,250,220,320,605,5131
2648,2683,2758,3015,6517,49795
514,610,534,438,1131,9797
619,809,835,902,1910,15181
1329,1732,1632,1558,3568,28033
516,670,509,460,1281,11083
56802,66871,74388,83131,166670,1142004
3655,3786,3539,3626,8439,68406
706,675,705,883,1870,15594
1350,1525,1345,1435,3512,26109
2953,3197,2869,2851,5947,56277
4310,4859,4880,5002,10742,83784
699,928,927,880,2074,16867
1780,2057,2066,2261,4236,37035
926,1018,956,996,2486,22148
637,831,855,784,1825,15708
907,861,1172,1423,2348,19213
355,801,936,956,1706,11606
1533,2005,1761,1654,3780,35030
5853,6442,4768,4984,12815,103218
15541,19019,22744,23390,43843,324073
2129,2839,2633,2533,5616,51956
23,50,71,67,136,2213
1762,1817,1840,1837,4314,36090
3593,3684,3629,3615,8048,73028
219,423,420,269,951,7052
1358,1581,1428,1596,3582,25564
804,801,1047,1015,2008,16329
437,412,397,362,973,10848
1002,1234,1608,1602,3179,24428
19483,18156,19260,27719,65372,374558
1391,1813,1863,2067,3988,34813
382,793,697,639,1493,12369
561,700,733,685,1341,13108
333,361,535,303,746,8830
1285,1737,1539,1493,3187,30959
497,537,470,395,875,10710
12195,17117,8103,5802,10160,97692
547,777,776,631,1438,14863
922,1068,1097,1245,2622,20523
448,667,562,582,1112,11998
427,441,506,493,924,12254
864,986,914,1054,1913,15537
1792,1871,1822,1968,4361,35265
1054,1215,1283,1251,2805,23694
756,905,791,756,2019,17958
2740,3266,3186,3053,7110,61970
1687,1531,1372,1522,3841,28364
2820,4015,1058,909,2128,22903
1920,2453,2747,3267,5517,37704
24416,28455,29497,33937,69486,450763
1488,1877,1941,1730,4091,34330
323,375,379,343,719,7359
307,452,510,506,1396,8873
4560,5270,5049,4953,11542,93419
995,1130,1199,1062,2332,22440
4359,5052,4322,4224,9384,78653
1242,1502,1506,1561,3419,27725
891,1105,1184,1197,2669,22290
1771,2362,2314,2372,4793,42854
1417,1772,1825,1670,3746,31298
819,973,878,867,2046,18089
7341,8032,7973,8149,17025,130159
8550,10196,9098,9380,19472,141159
323,291,426,274,662,6670
256,844,1085,994,1695,11595
1980,2450,2248,2417,5257,42689
2044,2405,2343,2516,4519,38991
2713,2984,2722,2960,6554,54457
525,1008,955,957,1855,17596
2062,2760,2775,2534,5000,39539
1212,1496,1545,1590,3682,29048
3637,4447,3813,3701,8522,67196
4070,7341,15967,19385,28520,154710
802,907,1096,1070,2095,17077
362,838,375,286,566,6495
3063,7089,5744,4059,5468,46487
12663,15522,16504,16561,31259,235410
723,918,1146,1266,1949,17582
267,467,242,181,770,5675
1769,2868,2828,2413,4272,41911
277,310,499,353,605,5495
1087,1695,1610,1653,3148,23580
566,662,757,954,1936,13843
335,415,568,559,866,8334
2139,3900,2715,1748,3693,28135
354,205,310,339,864,6788
7338,12179,11360,9759,14973,136255
8339,10495,4278,3345,5683,53064
1286,1277,1513,1665,2567,22353
1801,2281,158,165,199,7113
8030,13746,6036,4328,6962,79237
2252,2785,3240,3372,5993,41379
918,817,1288,1332,2806,16117
457,772,832,614,1582,13256
10435,16073,16394,14092,21229,180775
13847,35591,26982,19759,27672,245752
86,235,245,323,645,4043
1197,2631,2830,2107,3140,32037
668,781,502,658,1417,12022
4077,7555,8171,7324,11038,95536
3241,4922,1156,659,1393,17380
12428,21129,25938,19934,25341,220892
3978,6227,8034,7305,12709,99572
1879,2099,1567,1372,2676,25521
1269,1688,1591,1661,2912,24273
4242,5215,5620,6006,11590,88057
21425,34294,39120,35557,58110,450057
893,1278,1440,1345,2798,21620
2458,3638,949,730,912,14817
1637,2046,2101,1461,3390,27516
1206,1413,1246,1185,2178,19261
1075,1260,1174,1295,2382,22259
10132,12151,12636,13190,23086,190529
3978,4594,4732,4545,8425,75138
2915,3655,3842,3717,7054,73439
24111,27228,28996,29580,61530,457474
182,136,161,198,441,3999
5051,5847,6093,5915,12001,103590
2022,2424,2330,2524,4804,40585
388,411,320,272,827,7568
5378,5956,6734,7242,12023,89124
127,22,121,107,224,2226
5441,6652,6282,5947,11045,93420
3050,3908,4171,4160,8280,71454
3101,5728,5874,4651,8011,80323
936,1084,1346,1245,2508,30524
93659,132420,183174,183668,315613,2118119
12185,20878,18866,16941,29297,258903
3414,7192,2868,2218,4394,43726
901,1179,923,1136,2526,21172
3627,4276,4436,4262,8657,76012
501,420,386,503,1087,10344
2723,3310,3361,3576,6707,61569
1846,2214,2066,2282,4550,41377
715,955,897,984,1972,20940
723,373,664,519,1252,13066
41605,60736,66005,62002,108803,845193
596,550,610,632,1604,16221
5854,7250,7338,7507,13988,121725
577,542,473,633,1369,11498
36959,47766,54323,57295,107127,771904
25286,36126,37765,33533,58879,490764
2171,2097,1823,1972,4442,43858
12869,17094,19248,19276,35316,269885
170,232,121,160,355,4105
3872,5305,3927,3601,6695,59862
12373,23516,14141,13471,24787,212738
7163,10830,3958,2507,4057,47794
14547,17638,16574,15759,29529,248279
1091,1392,872,841,1887,16790
4863,6400,7500,7335,15232,111610
1183,1192,1233,1159,3203,23236
796,692,828,752,1642,14345
1259,1593,1175,1022,2597,23067
5345,9719,5977,6207,11210,96100
326,315,361,383,850,7450
458,444,393,446,1107,8901
412,600,438,480,1069,8570
2075,2312,2619,2432,5653,44602
631,847,526,575,1168,8305
469,664,588,547,1309,11673
1275,1875,1977,2005,4115,35523
1127,1225,1191,1151,2712,23412
1157,1473,1507,1512,3587,29921
546,673,759,796,1670,13812
3153,3785,3901,4417,8477,68438
1582,1534,1523,1677,3504,29123
3136,3251,3033,3328,7322,55673
8113,10902,11664,11352,22894,187827
597,920,890,1037,1975,16371
834,1163,1165,1150,2767,21241
1429,1843,1900,1946,4745,34428
708,970,1176,1165,2524,19707
3079,4632,3142,3291,6884,56575
1208,1737,1758,1650,3766,32006
1215,1393,1496,1481,3354,27000
2809,3940,3708,3312,7102,60963
1635,1667,1480,1426,3118,27421
1050,1337,1543,1432,3238,25150
7916,17140,10002,7806,11840,103715
433,725,648,647,1508,13517
826,819,875,786,1995,17510
935,1345,1402,1344,3107,25496
2518,3006,2401,2298,4798,42906
277,401,318,307,701,7138
340,507,424,449,1004,7527
278,426,453,462,937,8574
1313,1839,2270,2215,4414,33760
2793,2775,2972,3619,7640,56644
3016,4413,4941,4497,10262,77097
1311,1767,1860,1784,3351,29152
416,521,474,510,1149,10005
639,672,686,705,1730,14348
521,582,738,746,1697,13210
661,969,1010,1002,2188,16977
331,393,325,338,756,7035
388,481,439,411,1033,8949
1437,1949,1381,1313,2758,24604
1922,2281,2215,2187,5153,41063
356,454,409,407,1002,8637
802,855,797,767,1755,15793
294,280,225,309,759,5800
3849,4930,4822,4934,10289,86016
1082,1151,1163,1106,2918,22130
659,830,897,954,2068,20111
940,1062,809,842,1675,15779
2059,2419,2314,2619,4960,45358
612,654,551,681,1370,15004
13798,17419,17547,17771,32452,258004
617,667,666,716,1407,13243
578,598,589,644,1443,15239
2610,2652,2390,2920,6787,49737
2883,3333,3675,4243,7697,63445
1923,1830,1641,1827,3747,34513
2748,3000,3111,3452,7097,56790
792,892,807,900,1650,16313
28733,55190,40992,40509,67423,522837
3894,4937,5279,5652,11098,87833
1043,1137,1139,1323,2853,27443
2044,2803,2798,2832,5042,43503
3702,5761,2518,2612,4682,44260
6952,12726,7151,6786,11162,102388
146,169,178,193,387,4354
5070,6397,5605,6397,12117,102082
406,553,456,403,926,9035
4233,6289,2892,2637,5026,51742
1599,1956,1794,2168,4563,36869
876,820,865,986,1943,18745
1106,1115,1262,1332,2749,23576
183,209,234,240,557,5748
883,1120,1304,1269,2391,20531
5280,5378,4599,5201,10574,84586
1103,1333,1401,1508,3091,26427
10064,11471,10691,10618,21358,167886
990,1053,931,1106,2485,20378
8082,13931,7592,7343,12947,117582
887,895,862,1034,1752,16755
897,917,844,994,1993,19190
1398,1390,1224,1394,3248,27994
3991,4292,4064,4470,9093,79680
6824,7905,7677,8524,16431,135293
1934,2047,1926,2122,4206,40712
632,630,642,751,1495,15164
359,312,272,230,395,4506
51074,69784,82180,73809,120273,956586
2222,2305,2357,3051,5277,45303
1729,1751,1677,1950,4307,37465
1365,1635,1598,1722,3412,35352
9391,11818,11556,12576,23448,183288
5159,5215,3771,4416,9950,87817
327,365,326,372,778,7282
3260,4450,2172,2370,4699,41226
2061,2157,1944,2416,4961,43328
5005,8364,4273,4005,7471,70371
645,557,463,594,1402,13566
9845,11886,11266,11880,23580,195101
866,990,798,863,1888,17626
7967,10189,9393,10301,19982,161226
618,679,533,627,1432,14211
4492,4499,4466,5696,12213,87142
3162,3338,3528,3999,7898,63340
605,743,712,741,1568,16384
1808,2076,2046,2191,4552,41136
5856,6719,6189,7161,13756,115094
946,993,907,1069,2341,20344
1389,1561,1508,1767,3550,29510
1529,1443,1369,1540,3189,30378
722,877,855,831,1849,21465
6205,9689,5237,5632,11592,102917
601,633,600,736,1560,15638
6734,6902,6387,7758,16577,133967
21258,21338,18974,22285,47951,396731
2505,2659,2464,2881,5958,51651
964,1080,1174,1271,2417,24170
9348,15248,11300,11067,20160,169540
3314,3921,3817,4395,8124,73427
2903,8449,3732,2536,3655,37944
696,559,619,659,1259,11920
2316,3124,3808,3998,6669,48116
669,1042,1037,1047,1975,15689
728,748,813,916,1599,14166
304,341,374,499,715,7347
2061,2390,2421,2602,4470,40354
725,848,824,721,1452,13479
160,103,236,223,523,4741
249,432,272,455,1063,8562
4924,6889,7467,7077,11380,97031
954,792,892,1120,2386,18791
4025,5274,6004,6254,10475,81023
177,177,176,213,237,2479
1859,1616,1566,1838,3028,29276
460,370,371,501,821,8703
1470,1630,1619,1832,3588,29964
498,225,569,634,1585,10037
2312,3058,3314,3531,6016,44527
675,1162,2308,2078,3627,22923
1009,1241,1154,1396,2737,20758
452,399,377,474,965,8253
203,467,402,439,863,7117
1014,1278,1171,1126,2169,18525
2136,2780,2547,2350,4942,39470
3122,3724,3449,3337,7063,55722
1586,1844,1726,1636,3452,26855
1141,1772,1604,1393,2700,24008
1643,1942,1673,1621,3645,27892
5058,6375,5635,5130,11370,89550
1138,1271,1131,1163,2467,18504
1347,1764,1607,1570,3485,24583
1845,2373,2168,1877,3343,29237
10136,13643,13499,12188,22684,188614
2631,3223,2771,2631,6683,49726
7348,9393,8598,8267,17580,134269
1819,2377,2024,1886,4315,32936
2536,3372,2980,2676,6592,46779
8893,11646,10263,9503,20767,161684
1434,1849,1810,1634,2923,25595
2298,3207,2968,2668,5651,45431
582,987,777,670,1504,12238
985,1227,1143,1041,1919,17325
2200,2927,2737,2566,5339,41181
2266,2493,2485,2534,5513,39796
1100,1491,1423,1317,2384,19914
2053,2559,2358,2219,4254,34933
40,70,171,149,134,1494
2291,2379,2056,2240,5722,37722
1820,2453,2095,1748,4165,33075
810,1018,667,692,1673,12140
904,1172,1026,982,2103,17327
2688,3193,3135,2795,5560,42623
1066,1293,1266,1182,2422,19578
4378,6113,5762,5749,11448,90773
2663,3257,2956,3050,7265,47074
2241,2750,2621,2550,5454,40978
759,962,846,842,2086,16474
3064,3665,3276,3101,7039,54736
2389,2936,2661,2592,5872,43314
1162,1115,1067,963,1915,15297
2985,3578,3103,2804,6305,47952
2432,2874,2671,2718,5976,39704
1320,1649,1408,1240,2825,23893
1547,1895,1779,1696,3380,27321
463,646,584,510,1029,8874
2175,2536,2481,2584,5608,38253
1549,2111,1978,1695,3316,27242
1184,1357,1127,1037,2444,18952
2363,2801,2459,2394,4940,40705
357,443,302,329,816,6180
670,737,679,593,1355,11297
5596,8989,4799,4295,7762,79615
2222,2639,2500,2396,4936,37676
2070,2421,2295,2047,4047,31785
1663,1896,1782,1804,3758,26584
1626,2150,2044,1812,3386,29112
1466,1742,1461,1299,2592,21906
903,1249,1081,958,1966,17769
1231,1612,1546,1326,2591,21661
8483,11240,10067,8830,17199,148863
1393,1712,1562,1503,3127,24548
794,826,728,770,1918,14526
3099,3813,3445,3109,6831,51768
1470,1607,1368,1309,2960,23610
1855,2067,1769,1778,3736,29239
1939,2466,1930,1721,3687,32937
19250,24950,23522,21701,42566,355181
1978,2713,2482,2453,4916,38689
2012,2392,2158,2191,4822,38970
1438,1647,1342,1379,3451,22475
5087,5583,5064,4673,10676,74169
4610,5792,5568,5403,10704,81905
3938,4868,4454,4385,9360,69478
1718,2098,1889,1674,3392,30209
2190,2748,2621,2450,5059,38589
3109,3799,3538,3361,6863,54754
284,555,523,751,1070,8931
1687,1843,1548,1327,2779,23659
1899,2455,2146,1906,4355,35025
2074,2386,2227,2097,4646,37585
